tag_id,general_class,sub_class,color
15036,small vehicle,sedan,black
31658,large vehicle,truck,red
26971,small vehicle,sedan,red
19301,small vehicle,sedan,silver/grey
35906,large vehicle,truck,red
33775,small vehicle,sedan,blue
24690,large vehicle,dedicated agricultural vehicle,yellow
27442,small vehicle,jeep,green
26689,large vehicle,dedicated agricultural vehicle,yellow
38403,small vehicle,sedan,blue
39776,large vehicle,crane truck,white
37141,small vehicle,sedan,blue
16961,small vehicle,sedan,white
23952,large vehicle,prime mover,green
24995,large vehicle,truck,green
16614,large vehicle,truck,red
12342,small vehicle,sedan,silver/grey
38576,small vehicle,sedan,white
19177,large vehicle,cement mixer,white
25091,small vehicle,hatchback,silver/grey
11416,large vehicle,prime mover,white
31160,small vehicle,minivan,white
23252,large vehicle,prime mover,white
22593,small vehicle,hatchback,blue
22033,small vehicle,hatchback,black
37588,small vehicle,sedan,silver/grey
37674,small vehicle,hatchback,black
17733,small vehicle,sedan,black
37409,large vehicle,crane truck,white
39560,large vehicle,truck,white
39055,large vehicle,truck,white
20758,large vehicle,truck,blue
34853,large vehicle,prime mover,white
34202,large vehicle,prime mover,white
19113,large vehicle,crane truck,white
38833,large vehicle,truck,white
21939,large vehicle,truck,white
26813,large vehicle,truck,white
35014,large vehicle,truck,blue
19429,large vehicle,prime mover,white
19840,large vehicle,truck,white
20422,large vehicle,truck,white
23708,large vehicle,truck,white
27424,large vehicle,truck,white
24786,large vehicle,crane truck,white
29875,large vehicle,cement mixer,yellow
23018,large vehicle,truck,white
20105,large vehicle,truck,white
27930,small vehicle,hatchback,black
22212,small vehicle,hatchback,yellow
34526,small vehicle,sedan,silver/grey
26352,small vehicle,pickup,white
17390,small vehicle,sedan,blue
23854,small vehicle,jeep,blue
18796,small vehicle,hatchback,silver/grey
25036,large vehicle,crane truck,white
31278,small vehicle,van,silver/grey
21795,small vehicle,sedan,silver/grey
20689,large vehicle,dedicated agricultural vehicle,yellow
39728,small vehicle,hatchback,silver/grey
17401,small vehicle,sedan,silver/grey
14063,small vehicle,hatchback,white
24904,small vehicle,sedan,white
21128,small vehicle,hatchback,white
33148,small vehicle,pickup,silver/grey
25474,small vehicle,sedan,white
34933,small vehicle,pickup,silver/grey
11251,small vehicle,minivan,white
25824,large vehicle,cement mixer,green
10365,large vehicle,crane truck,white
30508,large vehicle,crane truck,red
17299,small vehicle,sedan,blue
29934,small vehicle,sedan,white
12714,small vehicle,sedan,red
32365,small vehicle,sedan,white
13403,small vehicle,hatchback,white
17124,small vehicle,sedan,white
22298,small vehicle,sedan,white
35136,small vehicle,sedan,white
35029,small vehicle,sedan,white
21531,small vehicle,hatchback,white
29839,small vehicle,sedan,white
21858,small vehicle,hatchback,white
26407,small vehicle,sedan,white
27472,small vehicle,hatchback,white
14875,small vehicle,sedan,black
15675,large vehicle,prime mover,white
23051,small vehicle,sedan,white
18851,small vehicle,van,white
25378,small vehicle,sedan,white
39293,small vehicle,sedan,white
15717,small vehicle,sedan,white
16069,small vehicle,sedan,white
34986,small vehicle,hatchback,white
20330,small vehicle,sedan,white
34531,small vehicle,sedan,white
25470,small vehicle,sedan,white
29442,small vehicle,sedan,silver/grey
37503,small vehicle,sedan,white
32320,small vehicle,sedan,silver/grey
14798,small vehicle,van,white
11837,small vehicle,sedan,other
10169,small vehicle,sedan,silver/grey
16306,small vehicle,van,white
26060,small vehicle,van,white
25232,small vehicle,van,white
29976,small vehicle,sedan,silver/grey
32306,small vehicle,hatchback,white
19565,small vehicle,sedan,white
19407,small vehicle,sedan,white
37097,small vehicle,sedan,black
34841,small vehicle,sedan,white
23206,small vehicle,van,white
32694,small vehicle,van,white
17720,small vehicle,van,white
36546,small vehicle,van,white
37834,small vehicle,van,white
13170,small vehicle,sedan,white
23388,small vehicle,minivan,white
25356,small vehicle,sedan,white
11255,small vehicle,minivan,blue
22759,small vehicle,sedan,white
18677,small vehicle,sedan,white
16944,small vehicle,sedan,silver/grey
32048,small vehicle,jeep,silver/grey
23272,small vehicle,hatchback,white
27789,small vehicle,sedan,white
28389,small vehicle,sedan,white
17707,small vehicle,sedan,white
37318,small vehicle,sedan,white
32799,small vehicle,hatchback,white
27780,small vehicle,sedan,white
15582,large vehicle,light truck,yellow
38978,small vehicle,sedan,yellow
39229,small vehicle,sedan,white
39727,small vehicle,pickup,silver/grey
26090,small vehicle,sedan,white
34492,small vehicle,sedan,white
26363,small vehicle,hatchback,other
21523,small vehicle,sedan,white
11746,small vehicle,sedan,red
15899,small vehicle,sedan,white
31882,small vehicle,sedan,yellow
14282,small vehicle,sedan,white
11786,small vehicle,sedan,silver/grey
22378,small vehicle,minivan,white
17069,small vehicle,van,yellow
32678,small vehicle,sedan,blue
14210,small vehicle,sedan,silver/grey
24043,small vehicle,pickup,white
32105,small vehicle,jeep,red
26343,small vehicle,sedan,white
19579,small vehicle,sedan,yellow
11075,small vehicle,minivan,white
31823,small vehicle,pickup,silver/grey
39352,small vehicle,van,white
11213,small vehicle,sedan,white
35957,small vehicle,sedan,silver/grey
15533,small vehicle,sedan,white
29610,small vehicle,sedan,silver/grey
29684,small vehicle,pickup,red
12909,large vehicle,truck,white
16706,small vehicle,sedan,white
21644,small vehicle,jeep,white
16448,large vehicle,light truck,white
31842,small vehicle,sedan,yellow
21052,small vehicle,sedan,white
34675,small vehicle,sedan,white
23987,small vehicle,van,yellow
14722,small vehicle,sedan,white
10375,small vehicle,sedan,white
15030,small vehicle,sedan,white
10268,small vehicle,pickup,white
27075,small vehicle,sedan,white
30423,small vehicle,pickup,white
39607,small vehicle,van,white
11458,small vehicle,hatchback,white
11378,small vehicle,pickup,red
29127,small vehicle,van,white
10624,small vehicle,sedan,white
13159,small vehicle,van,red
38627,small vehicle,van,white
28697,small vehicle,van,white
31922,large vehicle,truck,white
22384,large vehicle,light truck,white
26779,large vehicle,light truck,white
35434,large vehicle,truck,white
35695,small vehicle,sedan,yellow
19964,small vehicle,sedan,white
16446,small vehicle,sedan,white
21077,small vehicle,hatchback,silver/grey
12329,small vehicle,sedan,white
32411,small vehicle,hatchback,white
29065,small vehicle,sedan,black
20047,small vehicle,sedan,silver/grey
22594,small vehicle,sedan,black
26017,small vehicle,sedan,white
29174,small vehicle,sedan,white
36221,small vehicle,van,red
35431,small vehicle,sedan,white
25463,small vehicle,sedan,white
22406,small vehicle,sedan,silver/grey
16977,small vehicle,minivan,yellow
39496,small vehicle,sedan,white
38263,small vehicle,pickup,white
30377,small vehicle,sedan,red
17233,small vehicle,pickup,white
38529,small vehicle,sedan,white
28053,small vehicle,van,white
36287,small vehicle,jeep,silver/grey
30624,small vehicle,sedan,white
16762,small vehicle,hatchback,white
29295,small vehicle,sedan,silver/grey
27412,small vehicle,sedan,white
11155,small vehicle,sedan,white
35330,small vehicle,sedan,white
34710,small vehicle,sedan,white
18904,small vehicle,sedan,white
35439,small vehicle,hatchback,white
31451,large vehicle,light truck,silver/grey
13727,large vehicle,truck,white
23088,large vehicle,light truck,white
39493,small vehicle,hatchback,white
13102,small vehicle,sedan,red
39351,small vehicle,sedan,white
26529,small vehicle,sedan,black
15486,small vehicle,hatchback,white
19061,small vehicle,sedan,silver/grey
37395,small vehicle,sedan,white
34177,small vehicle,van,silver/grey
33325,small vehicle,sedan,white
18182,small vehicle,pickup,silver/grey
35418,small vehicle,sedan,white
35089,small vehicle,sedan,white
21294,small vehicle,sedan,silver/grey
35197,small vehicle,sedan,yellow
25123,small vehicle,sedan,white
29476,small vehicle,sedan,white
38033,small vehicle,sedan,white
19617,small vehicle,hatchback,white
27962,small vehicle,hatchback,white
37566,small vehicle,sedan,white
17506,large vehicle,bus,white
12448,small vehicle,pickup,white
33582,small vehicle,sedan,silver/grey
27694,small vehicle,sedan,white
30723,small vehicle,pickup,white
33803,small vehicle,pickup,silver/grey
37297,small vehicle,hatchback,white
36595,small vehicle,hatchback,white
23885,large vehicle,tanker,white
20345,large vehicle,tanker,white
33109,small vehicle,sedan,yellow
22396,small vehicle,sedan,white
23776,small vehicle,sedan,yellow
39889,small vehicle,hatchback,white
26225,small vehicle,sedan,white
35790,small vehicle,sedan,silver/grey
18680,small vehicle,sedan,silver/grey
31016,small vehicle,sedan,yellow
34985,small vehicle,sedan,white
30948,small vehicle,jeep,white
22555,small vehicle,sedan,white
35017,small vehicle,sedan,white
13539,small vehicle,jeep,white
33810,small vehicle,sedan,white
15802,small vehicle,sedan,white
14453,small vehicle,sedan,white
35413,small vehicle,hatchback,white
15195,small vehicle,sedan,white
15587,small vehicle,sedan,white
19071,small vehicle,sedan,silver/grey
35868,small vehicle,sedan,black
30063,small vehicle,sedan,black
33451,small vehicle,sedan,red
29983,small vehicle,hatchback,white
11559,small vehicle,sedan,white
32182,small vehicle,sedan,silver/grey
16255,small vehicle,sedan,white
35708,small vehicle,sedan,white
36169,large vehicle,light truck,white
22590,large vehicle,light truck,white
20610,large vehicle,light truck,white
26399,large vehicle,light truck,white
28127,small vehicle,sedan,black
31181,small vehicle,hatchback,white
35206,small vehicle,jeep,white
39667,small vehicle,sedan,other
25856,small vehicle,pickup,yellow
26537,small vehicle,pickup,white
21109,small vehicle,pickup,white
30326,small vehicle,pickup,green
16409,small vehicle,sedan,white
34507,small vehicle,sedan,white
33588,small vehicle,sedan,silver/grey
23097,small vehicle,hatchback,white
11041,small vehicle,hatchback,white
