tag_id,general_class,sub_class,color
15036,small vehicle,sedan,black
31658,large vehicle,truck,red
35906,large vehicle,truck,red
33775,small vehicle,sedan,blue
24690,large vehicle,other,yellow
27442,small vehicle,jeep,green
26689,large vehicle,other,yellow
38403,small vehicle,sedan,blue
39776,large vehicle,other,white
37141,small vehicle,sedan,blue
23952,large vehicle,other,green
24995,large vehicle,truck,green
12342,small vehicle,sedan,silver/grey
38576,small vehicle,sedan,white
19177,large vehicle,other,white
25091,small vehicle,hatchback,silver/grey
23252,large vehicle,other,white
22593,small vehicle,hatchback,blue
22033,small vehicle,hatchback,black
37588,small vehicle,sedan,silver/grey
17733,small vehicle,sedan,black
37409,large vehicle,other,white
39560,large vehicle,truck,white
39055,large vehicle,truck,white
34853,large vehicle,other,white
34202,large vehicle,other,white
19113,large vehicle,other,white
38833,large vehicle,truck,white
21939,large vehicle,truck,white
26813,large vehicle,truck,white
35014,large vehicle,truck,blue
19429,large vehicle,other,white
19840,large vehicle,truck,white
27424,large vehicle,truck,white
24786,large vehicle,other,white
29875,large vehicle,other,yellow
23018,large vehicle,truck,white
20105,large vehicle,truck,white
22212,small vehicle,hatchback,yellow
18796,small vehicle,hatchback,silver/grey
31278,small vehicle,van,silver/grey
20689,large vehicle,other,yellow
39728,small vehicle,hatchback,silver/grey
14063,small vehicle,hatchback,white
33148,small vehicle,pickup,silver/grey
34933,small vehicle,pickup,silver/grey
11251,small vehicle,minivan,white
25824,large vehicle,other,green
10365,large vehicle,other,white
30508,large vehicle,other,red
17299,small vehicle,sedan,blue
12714,small vehicle,sedan,red
13403,small vehicle,hatchback,white
22298,small vehicle,sedan,white
35136,small vehicle,sedan,white
35029,small vehicle,sedan,white
21531,small vehicle,hatchback,white
27472,small vehicle,hatchback,white
14875,small vehicle,sedan,black
18851,small vehicle,van,white
39293,small vehicle,sedan,white
15717,small vehicle,sedan,white
16069,small vehicle,sedan,white
20330,small vehicle,sedan,white
34531,small vehicle,sedan,white
25470,small vehicle,sedan,white
29442,small vehicle,sedan,silver/grey
37503,small vehicle,sedan,white
32320,small vehicle,sedan,silver/grey
14798,small vehicle,van,white
10169,small vehicle,sedan,silver/grey
26060,small vehicle,van,white
25232,small vehicle,van,white
29976,small vehicle,sedan,silver/grey
32306,small vehicle,hatchback,white
19565,small vehicle,sedan,white
19407,small vehicle,sedan,white
37097,small vehicle,sedan,black
23206,small vehicle,van,white
32694,small vehicle,van,white
17720,small vehicle,van,white
36546,small vehicle,van,white
37834,small vehicle,van,white
23388,small vehicle,minivan,white
25356,small vehicle,sedan,white
11255,small vehicle,minivan,blue
22759,small vehicle,sedan,white
16944,small vehicle,sedan,silver/grey
23272,small vehicle,hatchback,white
27789,small vehicle,sedan,white
28389,small vehicle,sedan,white
17707,small vehicle,sedan,white
37318,small vehicle,sedan,white
32799,small vehicle,hatchback,white
27780,small vehicle,sedan,white
15582,large vehicle,light truck,yellow
39229,small vehicle,sedan,white
39727,small vehicle,pickup,silver/grey
34492,small vehicle,sedan,white
26363,small vehicle,hatchback,other
21523,small vehicle,sedan,white
11746,small vehicle,sedan,red
15899,small vehicle,sedan,white
31882,small vehicle,sedan,yellow
14282,small vehicle,sedan,white
11786,small vehicle,sedan,silver/grey
17069,small vehicle,van,yellow
32678,small vehicle,sedan,blue
24043,small vehicle,pickup,white
32105,small vehicle,jeep,red
26343,small vehicle,sedan,white
19579,small vehicle,sedan,yellow
11075,small vehicle,minivan,white
31823,small vehicle,pickup,silver/grey
39352,small vehicle,van,white
11213,small vehicle,sedan,white
15533,small vehicle,sedan,white
29610,small vehicle,sedan,silver/grey
29684,small vehicle,pickup,red
12909,large vehicle,truck,white
16706,small vehicle,sedan,white
16448,large vehicle,light truck,white
31842,small vehicle,sedan,yellow
21052,small vehicle,sedan,white
34675,small vehicle,sedan,white
14722,small vehicle,sedan,white
10375,small vehicle,sedan,white
15030,small vehicle,sedan,white
10268,small vehicle,pickup,white
27075,small vehicle,sedan,white
30423,small vehicle,pickup,white
11378,small vehicle,pickup,red
29127,small vehicle,van,white
10624,small vehicle,sedan,white
13159,small vehicle,van,red
38627,small vehicle,van,white
28697,small vehicle,van,white
31922,large vehicle,truck,white
26779,large vehicle,light truck,white
35434,large vehicle,truck,white
35695,small vehicle,sedan,yellow
19964,small vehicle,sedan,white
16446,small vehicle,sedan,white
21077,small vehicle,hatchback,silver/grey
12329,small vehicle,sedan,white
32411,small vehicle,hatchback,white
29065,small vehicle,sedan,black
20047,small vehicle,sedan,silver/grey
22594,small vehicle,sedan,black
26017,small vehicle,sedan,white
29174,small vehicle,sedan,white
36221,small vehicle,van,red
35431,small vehicle,sedan,white
25463,small vehicle,sedan,white
16977,small vehicle,minivan,yellow
38263,small vehicle,pickup,white
17233,small vehicle,pickup,white
28053,small vehicle,van,white
36287,small vehicle,jeep,silver/grey
30624,small vehicle,sedan,white
16762,small vehicle,hatchback,white
27412,small vehicle,sedan,white
35330,small vehicle,sedan,white
18904,small vehicle,sedan,white
35439,small vehicle,hatchback,white
31451,large vehicle,light truck,silver/grey
39351,small vehicle,sedan,white
26529,small vehicle,sedan,black
19061,small vehicle,sedan,silver/grey
37395,small vehicle,sedan,white
18182,small vehicle,pickup,silver/grey
35418,small vehicle,sedan,white
35089,small vehicle,sedan,white
21294,small vehicle,sedan,silver/grey
35197,small vehicle,sedan,yellow
29476,small vehicle,sedan,white
38033,small vehicle,sedan,white
19617,small vehicle,hatchback,white
27962,small vehicle,hatchback,white
37566,small vehicle,sedan,white
17506,large vehicle,other,white
33582,small vehicle,sedan,silver/grey
27694,small vehicle,sedan,white
30723,small vehicle,pickup,white
33803,small vehicle,pickup,silver/grey
37297,small vehicle,hatchback,white
23885,large vehicle,other,white
20345,large vehicle,other,white
33109,small vehicle,sedan,yellow
23776,small vehicle,sedan,yellow
39889,small vehicle,hatchback,white
26225,small vehicle,sedan,white
18680,small vehicle,sedan,silver/grey
34985,small vehicle,sedan,white
30948,small vehicle,jeep,white
22555,small vehicle,sedan,white
35017,small vehicle,sedan,white
15802,small vehicle,sedan,white
14453,small vehicle,sedan,white
35413,small vehicle,hatchback,white
15195,small vehicle,sedan,white
15587,small vehicle,sedan,white
30063,small vehicle,sedan,black
32182,small vehicle,sedan,silver/grey
16255,small vehicle,sedan,white
35708,small vehicle,sedan,white
36169,large vehicle,light truck,white
22590,large vehicle,light truck,white
20610,large vehicle,light truck,white
26399,large vehicle,light truck,white
28127,small vehicle,sedan,black
31181,small vehicle,hatchback,white
35206,small vehicle,jeep,white
39667,small vehicle,sedan,other
25856,small vehicle,pickup,yellow
26537,small vehicle,pickup,white
21109,small vehicle,pickup,white
30326,small vehicle,pickup,green
16409,small vehicle,sedan,white
33588,small vehicle,sedan,silver/grey
23097,small vehicle,hatchback,white
15206,small vehicle,hatchback,white
38170,small vehicle,pickup,other
26966,small vehicle,sedan,red
23423,small vehicle,hatchback,other
38709,small vehicle,sedan,other
39167,small vehicle,sedan,white
17772,small vehicle,sedan,other
33126,small vehicle,sedan,silver/grey
26204,large vehicle,light truck,white
37660,small vehicle,hatchback,white
24441,small vehicle,sedan,white
27561,small vehicle,sedan,red
32496,small vehicle,hatchback,white
20099,small vehicle,sedan,white
30896,small vehicle,sedan,silver/grey
19115,small vehicle,sedan,white
34174,small vehicle,van,white
26403,small vehicle,sedan,white
31443,small vehicle,sedan,white
37796,large vehicle,truck,white
10129,small vehicle,hatchback,white
13914,small vehicle,sedan,red
39759,small vehicle,pickup,white
20507,small vehicle,pickup,white
17294,small vehicle,hatchback,white
37973,small vehicle,sedan,white
20688,small vehicle,sedan,yellow
36558,small vehicle,sedan,white
38026,small vehicle,sedan,white
20225,small vehicle,jeep,red
10400,small vehicle,sedan,white
36621,small vehicle,sedan,white
36703,small vehicle,sedan,white
25267,large vehicle,light truck,white
13754,small vehicle,jeep,white
29924,small vehicle,jeep,white
13526,small vehicle,van,white
26652,small vehicle,sedan,white
24227,small vehicle,jeep,white
29656,small vehicle,jeep,white
15175,large vehicle,light truck,yellow
30466,small vehicle,sedan,white
32588,small vehicle,hatchback,white
25097,small vehicle,sedan,white
16454,small vehicle,sedan,white
26258,small vehicle,sedan,yellow
39958,small vehicle,sedan,white
32892,small vehicle,sedan,yellow
38265,small vehicle,sedan,white
10476,small vehicle,sedan,red
12096,small vehicle,sedan,white
25613,small vehicle,sedan,white
32175,small vehicle,sedan,blue
26500,small vehicle,sedan,blue
31430,small vehicle,sedan,white
12539,small vehicle,hatchback,red
27824,small vehicle,sedan,black
33108,small vehicle,sedan,yellow
15839,small vehicle,sedan,white
10099,large vehicle,other,white
32692,large vehicle,light truck,white
20738,large vehicle,other,white
14969,large vehicle,other,white
37590,large vehicle,other,white
21142,small vehicle,van,white
14371,small vehicle,sedan,yellow
19164,small vehicle,sedan,silver/grey
27209,small vehicle,hatchback,white
34020,small vehicle,sedan,white
12637,small vehicle,sedan,black
21012,small vehicle,sedan,white
25836,small vehicle,jeep,white
14284,small vehicle,sedan,white
16763,small vehicle,sedan,white
26836,small vehicle,minivan,silver/grey
38604,small vehicle,sedan,yellow
10209,small vehicle,sedan,white
37012,small vehicle,sedan,silver/grey
36077,small vehicle,sedan,black
27669,small vehicle,sedan,white
16550,small vehicle,sedan,yellow
18802,small vehicle,sedan,white
29368,small vehicle,van,white
